Datetime,ETF Net Flow (USD mn)
2026-01-09T00:00:00Z,-250.0
2026-01-08T00:00:00Z,-398.8
2026-01-07T00:00:00Z,-486.1
2026-01-06T00:00:00Z,-243.2
2026-01-05T00:00:00Z,697.2
2026-01-02T00:00:00Z,471.3
2025-12-31T00:00:00Z,-348.1
2025-12-30T00:00:00Z,355.1
2025-12-29T00:00:00Z,-19.3
2025-12-26T00:00:00Z,-275.9
2025-12-24T00:00:00Z,-175.3
2025-12-23T00:00:00Z,-188.6
2025-12-22T00:00:00Z,-142.2
2025-12-19T00:00:00Z,-158.3
2025-12-18T00:00:00Z,-161.3
2025-12-17T00:00:00Z,457.3
2025-12-16T00:00:00Z,-277.2
2025-12-15T00:00:00Z,-357.6
2025-12-12T00:00:00Z,49.1
2025-12-11T00:00:00Z,-77.5
2025-12-10T00:00:00Z,223.5
2025-12-09T00:00:00Z,151.9
2025-12-08T00:00:00Z,-60.4
2025-12-05T00:00:00Z,54.8
2025-12-04T00:00:00Z,-194.6
2025-12-03T00:00:00Z,-14.9
2025-12-02T00:00:00Z,58.5
2025-12-01T00:00:00Z,8.5
2025-11-28T00:00:00Z,71.4
2025-11-26T00:00:00Z,21.1
2025-11-25T00:00:00Z,128.7
2025-11-24T00:00:00Z,-151.0
2025-11-21T00:00:00Z,238.4
2025-11-20T00:00:00Z,-903.2
2025-11-19T00:00:00Z,75.4
2025-11-18T00:00:00Z,-372.8
2025-11-17T00:00:00Z,-254.6
2025-11-14T00:00:00Z,-492.1
2025-11-13T00:00:00Z,-866.7
2025-11-12T00:00:00Z,-278.1
2025-11-11T00:00:00Z,524.0
2025-11-10T00:00:00Z,1.2
2025-11-07T00:00:00Z,-558.4
2025-11-06T00:00:00Z,239.9
2025-11-05T00:00:00Z,-137.0
2025-11-04T00:00:00Z,-566.4
2025-11-03T00:00:00Z,-186.5
2025-10-31T00:00:00Z,-191.6
2025-10-30T00:00:00Z,-488.4
2025-10-29T00:00:00Z,-470.7
2025-10-28T00:00:00Z,202.4
2025-10-27T00:00:00Z,149.3
2025-10-24T00:00:00Z,90.6
2025-10-23T00:00:00Z,20.3
2025-10-22T00:00:00Z,-101.4
2025-10-21T00:00:00Z,477.2
2025-10-20T00:00:00Z,-40.4
2025-10-17T00:00:00Z,-366.6
2025-10-16T00:00:00Z,-530.9
2025-10-15T00:00:00Z,-104.1
2025-10-14T00:00:00Z,102.7
2025-10-13T00:00:00Z,-326.4
2025-10-10T00:00:00Z,-4.5
2025-10-09T00:00:00Z,197.8
2025-10-08T00:00:00Z,440.7
2025-10-07T00:00:00Z,875.6
2025-10-06T00:00:00Z,1205.2
2025-10-03T00:00:00Z,985.1
2025-10-02T00:00:00Z,627.2
2025-10-01T00:00:00Z,675.8
2025-09-30T00:00:00Z,429.9
2025-09-29T00:00:00Z,518.0
2025-09-26T00:00:00Z,-418.3
2025-09-25T00:00:00Z,-253.4
